| 人类学与社会学哲学 上册 | NIL | 7303191763, 9787303191765 | [461D45CE6FA789B4D46F75E62D6D24B6](http://libgen.rs/book/index.php?md5=461D45CE6FA789B4D46F75E62D6D24B6) |
| 中國地域文化通覧: 香港卷 | 王国华 本卷主编 / 袁行霈 / 陈进玉 主编 | 7101090443, 9787101090444 | [32c590e2f9ca526141b77206e90c8196](http://libgen.rs/book/index.php?md5=32c590e2f9ca526141b77206e90c8196) |
| 经济学与公共目标 | [美] 约翰·肯尼斯·加尔布雷思 著; 于海生 译 | 9787508055749 | [C87D9514C97EACC8EFF472CCCF15FB05](http://libgen.rs/book/index.php?md5=C87D9514C97EACC8EFF472CCCF15FB05) |
| 近代中国史纲 | 郭廷以 | 9787543220492 | [0672B8152409B08771A220F7EE80D95C](http://libgen.rs/book/index.php?md5=0672B8152409B08771A220F7EE80D95C) |
| 章太炎谈诸子 | 章太炎 | 9787562246428 | [CCE99E3BCD0508A5C0A22719B1EDB593](http://libgen.rs/book/index.php?md5=CCE99E3BCD0508A5C0A22719B1EDB593) |
| 美国的公共政策: 承诺与执行 | [美] 彼得斯 | 9787309059601 | [1CDA54E529186CC472D93429C9989E4B](http://libgen.rs/book/index.php?md5=1CDA54E529186CC472D93429C9989E4B) |
| 近代中国史纲 | 郭廷以 | 9787543220492 | [0672B8152409B08771A220F7EE80D95C](http://libgen.rs/book/index.php?md5=0672B8152409B08771A220F7EE80D95C) |
| 经济学与公共目标 | [美] 约翰·肯尼斯·加尔布雷思 著; 于海生 译 | 9787508055749 | [C87D9514C97EACC8EFF472CCCF15FB05](http://libgen.rs/book/index.php?md5=C87D9514C97EACC8EFF472CCCF15FB05) |
| 科林斯经济学辞典: "十一五"国家重点图书 | NIL | 9787564202415 | [2C0E0074F5718EFF9B9F838D684A8EF0](http://libgen.rs/book/index.php?md5=2C0E0074F5718EFF9B9F838D684A8EF0) |
| 形而上学读本 | 张志伟 | 9787300116464 | [56129DE59089EC960B302F40DDB3E3EB](http://libgen.rs/book/index.php?md5=56129DE59089EC960B302F40DDB3E3EB) |
| 现代化和官僚威权主义: 南美政治研究 | [阿根廷] 吉列尔莫·奥唐奈 著; 王欢 / 申明民 译 | 9787301137284 | [5E2A313C727D0233B695AA5F7471859C](http://libgen.rs/book/index.php?md5=5E2A313C727D0233B695AA5F7471859C) |
| 王二的经济学故事: 哈佛经济学博士用故事讲透生活中的经济学 | 郭凯 | 9787213047756 | [0195E62D940EB5B8B96EB8F1DDEF0D84](http://libgen.rs/book/index.php?md5=0195E62D940EB5B8B96EB8F1DDEF0D84) |
| 实践理性批判: 注释本 | NIL | 9787300117447 | [E001AAD3ACA2D72EB0041F8258E5AAE9](http://libgen.rs/book/index.php?md5=E001AAD3ACA2D72EB0041F8258E5AAE9) |
| 中国地域文化通览·甘肃卷 | NIL | 9787101090468 | [162E99CCFF1BE4BDB129459344A5E383](http://libgen.rs/book/index.php?md5=162E99CCFF1BE4BDB129459344A5E383) |
| 中国地域文化通览（福建卷） | NIL | 9787101085969 | [F98F9D547987E6F42982BB38D1C026D3](http://libgen.rs/book/index.php?md5=F98F9D547987E6F42982BB38D1C026D3) |
| 中国地域文化通览·山东卷 | NIL | 9787101088786 | [D35056F0A4E2715C5CF027C9660B36D2](http://libgen.rs/book/index.php?md5=D35056F0A4E2715C5CF027C9660B36D2) |
| 中国地域文化通览（新疆卷） | NIL | 9787101089967 | [7DAF74C84756185DC364407230C3DCD2](http://libgen.rs/book/index.php?md5=7DAF74C84756185DC364407230C3DCD2) |
| 中国地域文化通览·江苏卷 | NIL | 9787101090451 | [907B9DDD7832DF7A6AEE7562B073DA0D](http://libgen.rs/book/index.php?md5=907B9DDD7832DF7A6AEE7562B073DA0D) |
| 中国地域文化通览（重庆卷） | NIL | 9787101090291 | [9178B8997F369E547D0EF73EB04C6008](http://libgen.rs/book/index.php?md5=9178B8997F369E547D0EF73EB04C6008) |
| 济慈诗歌与诗论的现代价值 | 傅修延 | 9787301239469 | [6208465A471175B42F6774FFD1A4F2DC](http://libgen.rs/book/index.php?md5=6208465A471175B42F6774FFD1A4F2DC) |
| 历史语言学方法论与汉语方言音韵史个案研究 | 王洪君 | 9787100098168 | [85DEF9D7509053A8212BFD04440F4DA8](http://libgen.rs/book/index.php?md5=85DEF9D7509053A8212BFD04440F4DA8) |
| 俄国外交文书选译: 关于蒙古问题 | NIL | 9787531668053 | [79A2DBCB93EA320CEA3F456B1C11299E](http://libgen.rs/book/index.php?md5=79A2DBCB93EA320CEA3F456B1C11299E) |
| 唐后期五代宋初敦煌僧寺研究 | [马来西亚] 陈大为 | 9787532571765 | [B139C0989D5DD152D8B4556C598EA8ED](http://libgen.rs/book/index.php?md5=B139C0989D5DD152D8B4556C598EA8ED) |
| 满族小说与中华文化 | 关纪新 | 9787509755952 | [30E28F7A330618E478990633B80FA993](http://libgen.rs/book/index.php?md5=30E28F7A330618E478990633B80FA993) |
| 唐宋词十七讲 | [加拿大] 叶嘉莹 | 9787301114919 | [49C6719FDC57D27D69F7423F58CACAFE](http://libgen.rs/book/index.php?md5=49C6719FDC57D27D69F7423F58CACAFE) |
| 反思与比较: 中西方古代社会的历史差距 | 杨师群 | 9787536057937 | [7289BE597430CA772E4412F3FDA4713E](http://libgen.rs/book/index.php?md5=7289BE597430CA772E4412F3FDA4713E) |
| 人间词话 | 王国维 | 9787300120218 | [CF5C9450B72948C78F22DEBBE160CE55](http://libgen.rs/book/index.php?md5=CF5C9450B72948C78F22DEBBE160CE55) |
| 公共政策工具: 对公共管理工具的评价 | [美] 彼得斯 著; 顾建光 译 | 9787300075310 | [13E777B823FCB2AD90A9EEF44BAF73D0](http://libgen.rs/book/index.php?md5=13E777B823FCB2AD90A9EEF44BAF73D0) |
| 身体、空间与后现代性 | 汪民安 | 9787214168351 | [49053E3C06A9CBA724838715BE7DB2FE](http://libgen.rs/book/index.php?md5=49053E3C06A9CBA724838715BE7DB2FE) |
| 犹在镜中: 戴锦华访谈录 | 戴锦华 | 9787501520275 | [33963F6E70EAB7E853727342FE006F16](http://libgen.rs/book/index.php?md5=33963F6E70EAB7E853727342FE006F16) |
| 涉渡之舟: 新时期中国女性写作与女性文化 | 戴锦华 | 9787541984006 | [D400E1D9EB9ED3F50D5AF35406D78A0C](http://libgen.rs/book/index.php?md5=D400E1D9EB9ED3F50D5AF35406D78A0C) |
| 文化与社会: 1780-1950 | [英] 雷蒙·威廉斯 著; 高晓玲 译 | 9787546367026 | [BBA7DEE8BBAD65DB7F642EC2E277E801](http://libgen.rs/book/index.php?md5=BBA7DEE8BBAD65DB7F642EC2E277E801) |
| 一半是火焰 一半是海水 | 王朔 | 9787530211625 | [34083AF975EE4CE8E73206F89983EA75](http://libgen.rs/book/index.php?md5=34083AF975EE4CE8E73206F89983EA75) |
| 左思生平及其詩之析論 | NIL | 9789575472337 | [366FE97564E0C0E7B16D67EBC16DC4F1](http://libgen.rs/book/index.php?md5=366FE97564E0C0E7B16D67EBC16DC4F1) |
| 化工过程分析与综合 | NIL | 9787561145975 | [C045466EA9CDB4FD0BBA595836152003](http://libgen.rs/book/index.php?md5=C045466EA9CDB4FD0BBA595836152003) |
| 20世纪最伟大的心理学实验 | [美] 劳伦·斯莱特 著; 郑雅方 译 | 9787300120737 | [A6BD01BB77E848A96C9985BACF5CDC2C](http://libgen.rs/book/index.php?md5=A6BD01BB77E848A96C9985BACF5CDC2C) |
| 中国哲学十九讲 | 牟宗三 | 9787532539055 | [771D37858B604A9B61C86F244889304A](http://libgen.rs/book/index.php?md5=771D37858B604A9B61C86F244889304A) |
| 医事程序法律实务: 医事程序法律实务 | NIL | 9787811405651 | [691BFACA25B9FDB9194DB5AED6998243](http://libgen.rs/book/index.php?md5=691BFACA25B9FDB9194DB5AED6998243) |
| 古文鉴赏辞典 | NIL | 9787539900148 | [AC06A8048F495D99CAE85A71F8D6CBA3](http://libgen.rs/book/index.php?md5=AC06A8048F495D99CAE85A71F8D6CBA3) |
| 中医自学丛书合集 | NIL | NIL | [E941C41254D867633591936BC7BA55DB](http://libgen.rs/book/index.php?md5=E941C41254D867633591936BC7BA55DB) |
| 谎言的衰落: 王尔德艺术批评文选 | [爱尔兰] 奥斯卡·王尔德 著; 萧易 译 | 9787534355394 | [32690C07B58A5DE1327644CBF7261F2C](http://libgen.rs/book/index.php?md5=32690C07B58A5DE1327644CBF7261F2C) |
| 王尔德诗选 | [爱尔兰] 奥斯卡·王尔德 著; 袁宪军 译 | 9787533453473 | [BE249186EDE483679E25F47DE7E9478A](http://libgen.rs/book/index.php?md5=BE249186EDE483679E25F47DE7E9478A) |
| 理想丈夫与不可儿戏: 王尔德的两出喜剧 | [爱尔兰] 奥斯卡·王尔德 著;  余光中 译 | 9787538250718 | [AD9A8098FB09DEFDCD638B43A423F254](http://libgen.rs/book/index.php?md5=AD9A8098FB09DEFDCD638B43A423F254) |
| 笔杆子、画笔和毒药 | [爱尔兰] 奥斯卡·王尔德 著; 杨东霞 / 罗汉 译 | 9787533924034 | [EB85FA2B934C1F2BFF07082BD8305AEE](http://libgen.rs/book/index.php?md5=EB85FA2B934C1F2BFF07082BD8305AEE) |
| 狱中记 | [爱尔兰] 奥斯卡·王尔德 著; 孙宜学 译 | 9787544210737 | [79C65CB9E69EAB830C0D8597E4332D1A](http://libgen.rs/book/index.php?md5=79C65CB9E69EAB830C0D8597E4332D1A) |
| 王尔德读书随笔 | [爱尔兰] 奥斯卡·王尔德 著; 张介明 译 | 9787542612847 | [5DCF209788F08512B4753CD10924AB0F](http://libgen.rs/book/index.php?md5=5DCF209788F08512B4753CD10924AB0F) |
| 道连·葛雷的画像 | [爱尔兰] 奥斯卡·王尔德 著; 荣如德 译 | 9787532739530 | [1EA42289841C127A4024F5A1D0A6A9DC](http://libgen.rs/book/index.php?md5=1EA42289841C127A4024F5A1D0A6A9DC) |
| 灵魂的毁灭 | [爱尔兰] 奥斯卡·王尔德 著; 姜允麟 译 | 9787207004024 | [A87932D447A9680DB20FBAE87E6EE693](http://libgen.rs/book/index.php?md5=A87932D447A9680DB20FBAE87E6EE693) |
| 快乐王子 | [爱尔兰] 奥斯卡·王尔德 著;  巴金 译 | 9787532742790 | [F4A3389E97A7CDAB4A4C1B720E674E85](http://libgen.rs/book/index.php?md5=F4A3389E97A7CDAB4A4C1B720E674E85) |
| 美国最高法院通识读本 | [美] 琳达·格林豪斯 著;  何帆 译 | 9787544737043 | [7EC22E279BE20D377A1EA9850B2A357C](http://libgen.rs/book/index.php?md5=7EC22E279BE20D377A1EA9850B2A357C) |
| 小径分岔的花园: 博尔赫斯小说 | [阿根廷] 豪·路·博尔赫斯 著; 王永年 译 | 9787533916367 | [BF8EAA5F069DE8D1733CF53ABFE21BFF](http://libgen.rs/book/index.php?md5=BF8EAA5F069DE8D1733CF53ABFE21BFF) |
| 抵达之谜 | [英] V.S.奈保尔 著; 邹海仑 / 张曙光 / 张杰 译 | 9787533917357 | [C5357F1CD63D0BCE1602A16334355387](http://libgen.rs/book/index.php?md5=C5357F1CD63D0BCE1602A16334355387) |
| 美好而狂暴的世界: 普拉东诺夫小说 | [苏联] 安德烈·普拉东诺夫 著; 徐振亚 译 | 9787533916961 | [5C6567C49C916C1178B3B8F04591D8D1](http://libgen.rs/book/index.php?md5=5C6567C49C916C1178B3B8F04591D8D1) |
| 砂女: 安部公房小说 | [日] 安部公房 著; 杨炳辰 / 王建新 译 | 9787533916749 | [FF5B291F54309D22FCCFEB9ED8589F6B](http://libgen.rs/book/index.php?md5=FF5B291F54309D22FCCFEB9ED8589F6B) |
| 玫瑰奇迹 | [法] 让·热内 著;  余中先 译 | 9787533923235 | [1094955EA793306DF9417E5C453953E9](http://libgen.rs/book/index.php?md5=1094955EA793306DF9417E5C453953E9) |
| 菲雅尔塔的春天 | 纳博科夫 著; 石枕川 译 | 9787533916688 | [14F29726BE456B7FDD3A0E2A56B52045](http://libgen.rs/book/index.php?md5=14F29726BE456B7FDD3A0E2A56B52045) |
| 政治少年之死 | [日] 大江健三郎 著;  郑民钦 译 | 9787533930257 | [703B814256882A0B9DA52BF67F933014](http://libgen.rs/book/index.php?md5=703B814256882A0B9DA52BF67F933014) |
| 迈克尔·K的生活和时代 | [南非] J.M.库切 著;  邹海仑 译 | 9787533919399 | [A2F3370B1EFCFC9FBB60ED139C38B075](http://libgen.rs/book/index.php?md5=A2F3370B1EFCFC9FBB60ED139C38B075) |
| 伊泽吉尔老婆子: 高尔基小说/经典印象第一辑 | [苏联] 马克西姆·高尔基 著; 何茂正 译 | 9787533915407 | [BBA8176D0EDECB82C31D38031998649E](http://libgen.rs/book/index.php?md5=BBA8176D0EDECB82C31D38031998649E) |
| 第二十三条军规 | [美] 约瑟夫·海勒 著; 郭国良 / 赵婕 译 | 9787533928759 | [4716E0A7EFC4DDE64416B1FD3B1A2424](http://libgen.rs/book/index.php?md5=4716E0A7EFC4DDE64416B1FD3B1A2424) |
| 屠格涅夫散文诗/经典印象 | [俄] 伊凡·谢尔盖耶维奇·屠格涅夫 著; 沈念驹 译 | 9787533916954 | [7F8F7AF1B798ABD22B553DDABC7AE006](http://libgen.rs/book/index.php?md5=7F8F7AF1B798ABD22B553DDABC7AE006) |
| 诗人的餐巾 | [法] 纪尧姆·阿波利奈尔 著;  余中先 译 | 9787533930219 | [29BEC19E3837BD446D22039E95DB77D4](http://libgen.rs/book/index.php?md5=29BEC19E3837BD446D22039E95DB77D4) |
| 红死魔的面具 | [美] 埃德加·爱伦·坡 著; 陈良廷 译 | 9787533915360 | [E2A45A912C8E0D5881EFD3F571C32FF0](http://libgen.rs/book/index.php?md5=E2A45A912C8E0D5881EFD3F571C32FF0) |
| 红色骑兵军 | [俄] 伊萨克·巴别尔 著; 戴骢 译 | 9787533928766 | [2B5BC5CC627BAD512A3B720444AA4AC6](http://libgen.rs/book/index.php?md5=2B5BC5CC627BAD512A3B720444AA4AC6) |
| 尼采散文——经典印象译丛 | [德] 弗里德里希·尼采 著;  杨恒达 译 | 9787533917036 | [B53CD6089380379CFD96C10E9A4E34CF](http://libgen.rs/book/index.php?md5=B53CD6089380379CFD96C10E9A4E34CF) |
| 夏日 | [南非] J.M.库切 著; 文敏 译 | 9787533930271 | [A3EC02E3A0668EFC235E8D677DB7DE91](http://libgen.rs/book/index.php?md5=A3EC02E3A0668EFC235E8D677DB7DE91) |
| 初恋: [俄]屠格涅夫小说/经典印象译丛 | [俄] 伊凡·谢尔盖耶维奇·屠格涅夫 著; 黄伟经 力冈 等 译 | 9787533915001 | [C00616E7747282BAEE639C74577947CF](http://libgen.rs/book/index.php?md5=C00616E7747282BAEE639C74577947CF) |
| 伊丽莎白·科斯特洛：八堂课 | [南非] J.M.库切 著; 北塔 译 | 9787533919412 | [13D035617A5216BBCF664216E76A18ED](http://libgen.rs/book/index.php?md5=13D035617A5216BBCF664216E76A18ED) |
| 彼得堡的大师 | [南非] J.M.库切 著; 王永年 / 匡咏梅 译 | 9787533919405 | [8200067AD3137B3FC8BCFE80BE97CD1F](http://libgen.rs/book/index.php?md5=8200067AD3137B3FC8BCFE80BE97CD1F) |
| 胡狼嗥叫的地方 | [以色列]阿摩司·奥兹 著; 郭国良//宋倩 译 | 9787533930288 | [7734FBD2E1C1EFD334049BC4258DAABA](http://libgen.rs/book/index.php?md5=7734FBD2E1C1EFD334049BC4258DAABA) |
| 一个陌生女人的来信: 茨威格小说 | [奥地利] 斯蒂芬·茨威格 著; 韩耀成 译 | 9787533914813 | [1CF6C5998875DE797BA6A6E545C87DB8](http://libgen.rs/book/index.php?md5=1CF6C5998875DE797BA6A6E545C87DB8) |
| 咏叹生死 | [以色列] 阿摩司·奥兹 著;  钟志清 译 | 9787533929503 | [D8CA45B4DD8C7EDA45290E99050D84E8](http://libgen.rs/book/index.php?md5=D8CA45B4DD8C7EDA45290E99050D84E8) |
| 午后曳航 | [日] 三岛由纪夫 著; 许金龙 译 | 9787533929541 | [2755F9AF6B86DBE19DBC3C7DAFDCFE53](http://libgen.rs/book/index.php?md5=2755F9AF6B86DBE19DBC3C7DAFDCFE53) |
| 圣诞颂歌: 狄更斯小说 | [英] 查尔斯·狄更斯 著; 吴钧陶 / 郭少波 等 译 | 9787533915124 | [BBC9B69B6CA132316E40564C6CF4CA7D](http://libgen.rs/book/index.php?md5=BBC9B69B6CA132316E40564C6CF4CA7D) |
| 百万英镑 | [美] 马克·吐温 著;  董衡巽 / 张友松 译 | 9787533914684 | [A7C6D51863226973E481B060F4A585C4](http://libgen.rs/book/index.php?md5=A7C6D51863226973E481B060F4A585C4) |
| 青春: 外省生活场景Ⅱ | [南非] J.M.库切 著; 王家湘 译 | 9787533919375 | [E88B2EEA0D32391212C2533F71D206FA](http://libgen.rs/book/index.php?md5=E88B2EEA0D32391212C2533F71D206FA) |
| 狗心 | [苏联] 米哈伊尔·布尔加科夫 著; 戴骢 / 曹国维 译 | 9787533929534 | [D1024E3D9BC6A2DA26AA2E038EA4FBCD](http://libgen.rs/book/index.php?md5=D1024E3D9BC6A2DA26AA2E038EA4FBCD) |
| 超越爱情的永恒之死: 马尔克斯小说 | [哥伦比亚] 加西亚·马尔克斯 著; 王银福 / 石灵 译 | 9787533914851 | [D7BD24FF6B677905C16A4E69F534E17A](http://libgen.rs/book/index.php?md5=D7BD24FF6B677905C16A4E69F534E17A) |
| 第九届全国美术作品展览版画作品集 | 内蒙古大学出版社 | 9787810740197 | [FB3FD3AF954CB915702C8E65A9B35297](http://libgen.is/book/index.php?md5=FB3FD3AF954CB915702C8E65A9B35297) |
| 大法官的智慧: 美国高等法院经典判决选集 | NIL | 9787503645471 | [77A4FC29E8ACF2951C019FED4085537B](http://libgen.is/book/index.php?md5=77A4FC29E8ACF2951C019FED4085537B) |
| 私人藏书：序言集 | [阿根廷] 豪·路·博尔赫斯 著; 盛力 / 崔鸿如 译 | 9787532767625 | [4C19C293002515F57B7ABD776E0F0EF4](http://libgen.is/book/index.php?md5=4C19C293002515F57B7ABD776E0F0EF4) |
| 陶庵夢憶 西湖夢尋 | NIL | 9787101055016 | [2FD6674D58315DF725408A8185F75B67](http://libgen.is/book/index.php?md5=2FD6674D58315DF725408A8185F75B67) |
